Name,Class
a,NONNANO
b,NONNANO
nano,NANO
fullerene,NANO
nanometer,NANO
CNT,NANO
nanotube,NANO
graphene,NANO
dendrimer,NANO
origami,NANO
quantum,NANO
dot,NANO
quantum,NANO
dots,NANO
qd,NANO
nm,NANO
pore,NANO
porous,NANO
polyhedron,NANO
polyhedra,NANO
NP,NANO
NW,NANO
SWCNT,NANO
MWCNT,NANO
SPION,NANO
nanorod,NANO
nanoparticle,NANO
nanocluster,NANO
nanowire,NANO
nanoring,NANO
nanoribbon,NANO
nanobelt,NANO
nanotube,NANO
nanosphere,NANO
nanomaterial,NANO
quantum,NANO
 well,NANO
nanowhisker,NANO
nanosheet,NANO
nanoporous,NANO
nanofiber,NANO
nanoneedle,NANO
nanoemulsion,NANO
nanocrystal,NANO
nanochain,NANO
nanocapsule,NANO
nanocage,NANO
nanogel,NANO
nanogroove,NANO
nanoflower,NANO
nanoonion,NANO
groove,NANO
RMS ,NANO
roughness,NANO
roughness,NANO
walls,NANO
wall ,NANO
count,NANO
grain ,NANO
size,NANO
nanowhiskers,NANO
nanosheets,NANO
nanoporous,NANO
nanofibers,NANO
nanoneedles,NANO
nanoemulsion,NANO
nanocrystals,NANO
nanochains,NANO
nanocapsules,NANO
nanocages,NANO
nanogels,NANO
nanogroove,NANO
nanoflowers,NANO
nanoonions,NANO
nanorods,NANO
nanoparticles,NANO
nanoclusters,NANO
nanowires,NANO
nanorings,NANO
nanoribbons,NANO
nanobelts,NANO
nanotubes,NANO
nanospheres,NANO
nanomaterials,NANO
quantum wells,NANO
nanometers,NANO
supramolecules,NANO
supramolecular,NANO
host-guest,NANO
interlocked,NANO
___ stacking,NANO
Vulcan 72,NANO
Å,NANO
angstrom,NANO
Dyesol,NANO
nanodrop,NANO
nanodrops,NANO
graphene,NANO
origami,NANO
nanotubes,NANO
nanosomes,NANO
nanoink,NANO
nanolayer,NANO
dendrimer,NANO
nanopowder,NANO
nanoceramics,NANO
nanocomposite,NANO
nanodiamond,NANO
nanostructured,NANO
nanotweezers,NANO
skyrmions,NANO
nanopore,NANO
nanorings,NANO
nanoclusters,NANO
nanoantennas,NANO
nanoneedles,NANO
nanotip,NANO
nanocomb,NANO
nanodisks,NANO
Hollow,NANO
Mesoporous,NANO
Silica,NANO
Mesoporous,NANO
Silica,NANO
Sphere,NANO
Magnetite,NANO
Core,NANO
Mesoporous,NANO
Sphere,NANO
Mesoporous,NANO
Silica,NANO
Shell,NANO
Mesoporous,NANO
Shell,NANO
N2,NANO
Sorption,NANO
Isotherm,NANO
Magnetic,NANO
Nanocrystals,NANO
Silica,NANO
Shell,NANO
Structure,NANO
Carbon,NANO
Capsule,NANO
Mesopore,NANO
Distribution,NANO
Quantum,NANO
Dot,NANO
ZnO,NANO
Nanocrystals,NANO
Mn-doped,NANO
ZnO,NANO
Vapor,NANO
Phase,NANO
Transport,NANO
Process,NANO
Dope,NANO
Mn,NANO
Ion,NANO
P-type,NANO
ZnO,NANO
Interstitial,NANO
Doping,NANO
Substitutional,NANO
Doping,NANO
Substitute,NANO
Zn,NANO
Ion,NANO
Small,NANO
ZnO,NANO
Nanoparticles,NANO
ZnO,NANO
Nanoparticles,NANO
Zinc,NANO
Acetate,NANO
Dehydrate,NANO
Surface,NANO
Defect,NANO
State,NANO
Small,NANO
ZnO,NANO
Horizontal,NANO
Quartz,NANO
Tube,NANO
ZnSe,NANO
Bulk,NANO
Resistivity,NANO
P-type,NANO
UV,NANO
Emission,NANO
Peak,NANO
Sharp,NANO
Absorption,NANO
Edge,NANO
Bulk,NANO
Wurtzite,NANO
Quartz,NANO
Wafer,NANO
Standard,NANO
Diffraction,NANO
Pattern,NANO
Transparent,NANO
Conduction,NANO
Electrode,NANO
Ncs,NANO
Sample,NANO
Intrinsic,NANO
Bandgap,NANO
ZnO,NANO
Nano,NANO
Group,NANO
Semiconductor,NANO
ZnO,NANO
Material,NANO
SiC,NANO
Nanowires,NANO
Nanowires,NANO
Cobalt,NANO
Silicide,NANO
Vapor-solid,NANO
Growth,NANO
Simple,NANO
Thermal,NANO
Evaporation,NANO
Magnify,NANO
FESEM,NANO
Image,NANO
Amorphous,NANO
SiO2,NANO
Layer,NANO
Vapor-solid,NANO
Mechanism,NANO
Twin,NANO
Defect,NANO
As-grown,NANO
Product,NANO
Nanorods,NANO
SiO2,NANO
Shell,NANO
Amorphous,NANO
SiO2,NANO
Shell,NANO
Core-shell,NANO
Nanostructures,NANO
Field-emission,NANO
Device,NANO
Top,NANO
Si,NANO
Layer,NANO
Chainlike,NANO
Nanostructures,NANO
Nanoelectromechanical,NANO
System,NANO
SiO,NANO
Vapor,NANO
Chemical,NANO
Vapor,NANO
Reaction,NANO
Silica,NANO
Xerogel,NANO
Typical,NANO
TEM,NANO
Image,NANO
Nanowire,NANO
Growth,NANO
Thermal,NANO
Evaporation,NANO
Technique,NANO
SiC,NANO
Nanostructures,NANO
Nanowire,NANO
Coating,NANO
Structural,NANO
Nanowires,NANO
Nanoscale,NANO
Electronic,NANO
Nanowire,NANO
Morphology,NANO
Superhydrophobic,NANO
Property,NANO
Individual,NANO
Nanowire,NANO
1D,NANO
Nanostructure,NANO
SWNT,NANO
Network,NANO
Junction,NANO
Silicon,NANO
SWNT,NANO
Film,NANO
Monocrystalline,NANO
Silicon,NANO
Solar,NANO
Cell,NANO
Arc,NANO
Discharge,NANO
Method,NANO
Boron-doped,NANO
P-type,NANO
SWNT,NANO
Density,NANO
Opv,NANO
Cell,NANO
Single-walled,NANO
Carbon,NANO
Nanotubes,NANO
Silicon,NANO
Heterojunction,NANO
Carbon,NANO
Nanotube,NANO
Network,NANO
Wafer,NANO
Technology,NANO
PV,NANO
Technology,NANO
Traditional,NANO
Silicon,NANO
Nanotube,NANO
Network,NANO
Nanoscale,NANO
Structure,NANO
Low,NANO
Work,NANO
Function,NANO
Metal,NANO
Spin,NANO
Casting,NANO
Cathode,NANO
Film,NANO
ITO,NANO
Substrate,NANO
FCC,NANO
Copper,NANO
Precursor,NANO
Film,NANO
nano-Ag,NANO
Particle,NANO
Nanometer,NANO
Scale,NANO
Surface,NANO
Enhance,NANO
Raman,NANO
Spectroscopy,NANO
Spectrum,NANO
Surface,NANO
Enhance,NANO
Raman,NANO
Spectroscopy,NANO
Signal,NANO
Surface,NANO
Enhance,NANO
Raman,NANO
Spectroscopy,NANO
Substrate,NANO
Surface,NANO
Enhance,NANO
Raman,NANO
Spectroscopy,NANO
Gold,NANO
Nanoparticles,NANO
Nanohole,NANO
Immobilize,NANO
Gold,NANO
Nanoparticles,NANO
Roughen,NANO
Metal,NANO
Surface,NANO
60nm,NANO
Gold,NANO
Nanoparticles,NANO
Prepare,NANO
Gold,NANO
Nanoparticles,NANO
Gold,NANO
Nanoparticle,NANO
Solution,NANO
Enhance,NANO
Raman,NANO
Signal,NANO
Silver,NANO
Nanoparticles,NANO
Immobilize,NANO
Gold,NANO
Functionalized,NANO
Glass,NANO
Nanoparticle,NANO
Solution,NANO
Subthreshold,NANO
Slope,NANO
Silicon,NANO
Nanowire,NANO
Nanowire,NANO
Silicon,NANO
Nanowire,NANO
Field-effect,NANO
Transistor,NANO
Effective,NANO
Mass,NANO
Model,NANO
Silicon,NANO
Nanowire,NANO
Transistor,NANO
Applied,NANO
Gate,NANO
Bias,NANO
Nanowire,NANO
Transistor,NANO
Carbon,NANO
Nanotube,NANO
Transistor,NANO
Short,NANO
Channel,NANO
Effect,NANO
Nanowire,NANO
Field-effect,NANO
Transistor,NANO
Nanowire,NANO
Length,NANO
Effective,NANO
Channel,NANO
Length,NANO
Future,NANO
Nanoelectronics,NANO
Undoped,NANO
Silicon,NANO
Nanometer,NANO
Regime,NANO
Dimensional,NANO
Nanostructures,NANO
Carbon,NANO
Nanofibers,NANO
Spherical,NANO
TiO2,NANO
Improve,NANO
Dispersion,NANO
Inorganic,NANO
Nano,NANO
Inorganic,NANO
Nano,NANO
Particle,NANO
Nano,NANO
Fluidic,NANO
Device,NANO
Nanoparticle,NANO
Synthesis,NANO
Fabrication,NANO
Scheme,NANO
Nickel,NANO
Nanowires,NANO
Nanowires,NANO
Magnetic,NANO
Nanowires,NANO
Hydrazine,NANO
Hydrate,NANO
Reduction,NANO
Nanochains,NANO
Nanowire,NANO
Growth,NANO
Microwave,NANO
Absorb,NANO
Material,NANO
Magnetic,NANO
Nanomaterials,NANO
Spherical,NANO
Nanoparticles,NANO
Nanorods,NANO
Ni,NANO
Nanoparticles,NANO
Nanocrystallites,NANO
Alumina,NANO
Template,NANO
Nanowire,NANO
Array,NANO
Colloid,NANO
Interface,NANO
Sci,NANO
ZnSe,NANO
Nanocrystals,NANO
Bulk,NANO
ZnSe,NANO
Shape,NANO
Controller,NANO
Surface,NANO
State,NANO
Emission,NANO
Effective,NANO
Band,NANO
Gap,NANO
Quantum,NANO
Dot,NANO
CdTe,NANO
Quantum,NANO
Dot,NANO
Nanocrystals,NANO
Luminescence,NANO
Group,NANO
II-VI,NANO
Narrow-dispersed,NANO
Size,NANO
Toxicity,NANO
Nanomaterials,NANO
Nanocrystals,NANO
Increase,NANO
Semiconductor,NANO
Nanocrystals,NANO
Nano,NANO
Size,NANO
Rhodamine,NANO
6B,NANO
Pristine,NANO
MWCNTs,NANO
Functional,NANO
CNTs,NANO
Initiate,NANO
Atom,NANO
Transfer,NANO
Radical,NANO
Polymerization,NANO
Carbon-based,NANO
Nanomaterials,NANO
Carbon,NANO
Allotrope,NANO
Diblock,NANO
Polymer,NANO
2-bromoisobutyryl,NANO
Bromide,NANO
Surface-initiated,NANO
Polymerization,NANO
2-bromoisobutyryl,NANO
Functionalization,NANO
Route,NANO
Superhydrophilic,NANO
Surface,NANO
Pristine,NANO
CNTs,NANO
Carbon,NANO
Nano-onions,NANO
Bingel,NANO
Reaction,NANO
Representative,NANO
TEM,NANO
Image,NANO
Nanosheets,NANO
Functionalize,NANO
Graphene,NANO
Nanosheets,NANO
Functionalized,NANO
Graphene,NANO
Sheet,NANO
Oxidize,NANO
Graphene,NANO
Nanosheets,NANO
Double-walled,NANO
Carbon,NANO
Nanotubes,NANO
Graphene,NANO
Nanosheets,NANO
Multi-walled,NANO
Carbon,NANO
Nanotubes,NANO
CNT,NANO
Functionalization,NANO
Double-walled,NANO
Carbon,NANO
Single-walled,NANO
Carbon,NANO
Nanotubes,NANO
Multi-walled,NANO
Carbon,NANO
Au,NANO
Nanocrystals,NANO
Hybrid,NANO
Nanomaterials,NANO
Inorganic,NANO
Nanocrystals,NANO
Typical,NANO
TEM,NANO
Image,NANO
CNT,NANO
Surface,NANO
Individual,NANO
Nanotubes,NANO
Carbon,NANO
Nanomaterials,NANO
Tip-sample,NANO
Separation,NANO
Self,NANO
Assemble,NANO
Film,NANO
I-V,NANO
Response,NANO
Scanning,NANO
Probe,NANO
Tip,NANO
Scanning,NANO
Tunnel,NANO
-,NANO
Ing,NANO
Microscopy,NANO
Chamber,NANO
Coated,NANO
Tip,NANO
Molecular,NANO
Rectifier,NANO
